population size,number iterations,elitism fraction,crossover probability,mutation probability,inner mutation probability,score,weight
10,10,0.15,0.7,0.7,0.01,0.0,28076.0
10,10,0.15,0.7,1,0.01,0.0,24558.0
10,10,0.15,1,0,0.01,0.0,24035.0
10,10,0.15,1,0.1,0.01,1870.0,716.0
10,10,0.15,1,0.4,0.01,0.0,31607.0
10,10,0.15,1,0.7,0.01,0.0,26492.0
10,10,0.15,1,1,0.01,0.0,25103.0
10,10,0.2,0,0,0.01,1870.0,716.0
10,10,0.2,0,0.1,0.01,1870.0,716.0
10,10,0.2,0,0.4,0.01,1870.0,716.0
10,10,0.2,0,0.7,0.01,2301.0,714.0
10,10,0.2,0,1,0.01,3538.0,908.0
10,10,0.2,0.1,0,0.01,1870.0,716.0
10,10,0.2,0.1,0.1,0.01,2286.0,964.0
10,10,0.2,0.1,0.4,0.01,1870.0,716.0
10,10,0.2,0.1,0.7,0.01,2833.0,741.0
10,10,0.2,0.1,1,0.01,4392.0,937.0
10,10,0.2,0.4,0,0.01,1870.0,716.0
10,10,0.2,0.4,0.1,0.01,1870.0,716.0
10,10,0.2,0.4,0.4,0.01,2209.0,767.0
10,10,0.2,0.4,0.7,0.01,2657.0,906.0
10,10,0.2,0.4,1,0.01,2983.0,975.0
10,10,0.2,0.7,0,0.01,1870.0,716.0
10,10,0.2,0.7,0.1,0.01,2288.0,977.0
10,10,0.2,0.7,0.4,0.01,3563.0,777.0
10,10,0.2,0.7,0.7,0.01,2778.0,813.0
10,10,0.2,0.7,1,0.01,3267.0,850.0
10,10,0.2,1,0,0.01,1870.0,716.0
10,10,0.2,1,0.1,0.01,1870.0,716.0
10,10,0.2,1,0.4,0.01,1870.0,716.0
10,10,0.2,1,0.7,0.01,3491.0,870.0
10,10,0.2,1,1,0.01,2057.0,952.0
10,10,0.25,0,0,0.01,1870.0,716.0
10,10,0.25,0,0.1,0.01,1870.0,716.0
10,10,0.25,0,0.4,0.01,1870.0,716.0
