population size,number iterations,elitism fraction,crossover probability,mutation probability,inner mutation probability,score,weight
50,150,0.25,0.1,0.1,0.1,2139.0,789.0
50,150,0.25,0.1,0.1,0.15,1857.0,762.0
50,150,0.25,0.1,0.1,0.2,1446.0,954.0
50,150,0.25,0.1,0.1,0.25,1572.0,116.0
50,150,0.25,0.1,0.4,0.0,1659.0,543.0
50,150,0.25,0.1,0.4,0.05,3624.0,950.0
50,150,0.25,0.1,0.4,0.1,1302.0,955.0
50,150,0.25,0.1,0.4,0.15,2112.0,871.0
50,150,0.25,0.1,0.4,0.2,1925.0,437.0
50,150,0.25,0.1,0.4,0.25,1575.0,749.0
50,150,0.25,0.1,0.7,0.0,1968.0,655.0
50,150,0.25,0.1,0.7,0.05,5970.0,924.0
50,150,0.25,0.1,0.7,0.1,1686.0,939.0
50,150,0.25,0.1,0.7,0.15,1918.0,463.0
50,150,0.25,0.1,0.7,0.2,1669.0,993.0
50,150,0.25,0.1,0.7,0.25,2312.0,491.0
50,150,0.25,0.1,1,0.0,1825.0,868.0
50,150,0.25,0.1,1,0.05,3809.0,987.0
50,150,0.25,0.1,1,0.1,2100.0,971.0
50,150,0.25,0.1,1,0.15,1659.0,420.0
50,150,0.25,0.1,1,0.2,1146.0,721.0
50,150,0.25,0.1,1,0.25,2520.0,555.0
50,150,0.25,0.4,0,0.0,2210.0,642.0
50,150,0.25,0.4,0,0.05,2256.0,867.0
50,150,0.25,0.4,0,0.1,1734.0,590.0
50,150,0.25,0.4,0,0.15,1691.0,949.0
50,150,0.25,0.4,0,0.2,2037.0,90.0
50,150,0.25,0.4,0,0.25,2058.0,920.0
50,150,0.25,0.4,0.1,0.0,2068.0,693.0
50,150,0.25,0.4,0.1,0.05,3570.0,944.0
50,150,0.25,0.4,0.1,0.1,2405.0,989.0
50,150,0.25,0.4,0.1,0.15,1393.0,494.0
50,150,0.25,0.4,0.1,0.2,2404.0,977.0
50,150,0.25,0.4,0.1,0.25,1984.0,187.0
50,150,0.25,0.4,0.4,0.0,1537.0,481.0
50,150,0.25,0.4,0.4,0.05,4943.0,981.0
50,150,0.25,0.4,0.4,0.1,1749.0,496.0
50,150,0.25,0.4,0.4,0.15,1721.0,228.0
50,150,0.25,0.4,0.4,0.2,2424.0,870.0
50,150,0.25,0.4,0.4,0.25,2272.0,976.0
50,150,0.25,0.4,0.7,0.0,1456.0,891.0
50,150,0.25,0.4,0.7,0.05,3689.0,960.0
50,150,0.25,0.4,0.7,0.1,1780.0,485.0
50,150,0.25,0.4,0.7,0.15,1407.0,928.0
50,150,0.25,0.4,0.7,0.2,1529.0,122.0
50,150,0.25,0.4,0.7,0.25,1652.0,571.0
50,150,0.25,0.4,1,0.0,1682.0,868.0
50,150,0.25,0.4,1,0.05,4601.0,923.0
50,150,0.25,0.4,1,0.1,2967.0,965.0
50,150,0.25,0.4,1,0.15,1928.0,269.0
50,150,0.25,0.4,1,0.2,2546.0,922.0
50,150,0.25,0.4,1,0.25,2712.0,839.0
50,150,0.25,0.7,0,0.0,1498.0,743.0
50,150,0.25,0.7,0,0.05,2570.0,990.0
50,150,0.25,0.7,0,0.1,2377.0,915.0
50,150,0.25,0.7,0,0.15,1781.0,972.0
50,150,0.25,0.7,0,0.2,1717.0,576.0
50,150,0.25,0.7,0,0.25,1581.0,843.0
50,150,0.25,0.7,0.1,0.0,1759.0,872.0
50,150,0.25,0.7,0.1,0.05,4005.0,947.0
50,150,0.25,0.7,0.1,0.1,2387.0,984.0
50,150,0.25,0.7,0.1,0.15,1900.0,314.0
50,150,0.25,0.7,0.1,0.2,2262.0,970.0
50,150,0.25,0.7,0.1,0.25,1286.0,943.0
50,150,0.25,0.7,0.4,0.0,1649.0,961.0
50,150,0.25,0.7,0.4,0.05,5418.0,987.0
50,150,0.25,0.7,0.4,0.1,2522.0,767.0
50,150,0.25,0.7,0.4,0.15,2328.0,964.0
50,150,0.25,0.7,0.4,0.2,1626.0,912.0
50,150,0.25,0.7,0.4,0.25,1480.0,687.0
50,150,0.25,0.7,0.7,0.0,1812.0,881.0
50,150,0.25,0.7,0.7,0.05,4545.0,940.0
50,150,0.25,0.7,0.7,0.1,2594.0,981.0
50,150,0.25,0.7,0.7,0.15,1529.0,724.0
50,150,0.25,0.7,0.7,0.2,1335.0,964.0
50,150,0.25,0.7,0.7,0.25,1757.0,748.0
50,150,0.25,0.7,1,0.0,1568.0,914.0
50,150,0.25,0.7,1,0.05,4762.0,966.0
50,150,0.25,0.7,1,0.1,3065.0,968.0
50,150,0.25,0.7,1,0.15,1704.0,441.0
50,150,0.25,0.7,1,0.2,1638.0,625.0
50,150,0.25,0.7,1,0.25,1494.0,661.0
50,150,0.25,1,0,0.0,1905.0,813.0
50,150,0.25,1,0,0.05,2328.0,123.0
50,150,0.25,1,0,0.1,1712.0,818.0
50,150,0.25,1,0,0.15,1989.0,497.0
50,150,0.25,1,0,0.2,1877.0,994.0
50,150,0.25,1,0,0.25,1592.0,461.0
50,150,0.25,1,0.1,0.0,2729.0,757.0
50,150,0.25,1,0.1,0.05,5234.0,879.0
50,150,0.25,1,0.1,0.1,2046.0,829.0
50,150,0.25,1,0.1,0.15,2323.0,995.0
50,150,0.25,1,0.1,0.2,1989.0,497.0
50,150,0.25,1,0.1,0.25,2053.0,90.0
50,150,0.25,1,0.4,0.0,2955.0,989.0
50,150,0.25,1,0.4,0.05,5329.0,985.0
50,150,0.25,1,0.4,0.1,2173.0,888.0
50,150,0.25,1,0.4,0.15,1918.0,789.0
50,150,0.25,1,0.4,0.2,2288.0,811.0
50,150,0.25,1,0.4,0.25,2177.0,288.0
50,150,0.25,1,0.7,0.0,2090.0,476.0
50,150,0.25,1,0.7,0.05,4719.0,912.0
50,150,0.25,1,0.7,0.1,1402.0,677.0
50,150,0.25,1,0.7,0.15,2808.0,974.0
50,150,0.25,1,0.7,0.2,1615.0,885.0
50,150,0.25,1,0.7,0.25,1932.0,70.0
50,150,0.25,1,1,0.0,1986.0,872.0
50,150,0.25,1,1,0.05,4983.0,952.0
50,150,0.25,1,1,0.1,1108.0,823.0
50,150,0.25,1,1,0.15,1874.0,965.0
50,150,0.25,1,1,0.2,1654.0,970.0
50,150,0.25,1,1,0.25,1820.0,795.0
50,150,0.3,0,0,0.0,2033.0,936.0
50,150,0.3,0,0,0.05,2460.0,670.0
50,150,0.3,0,0,0.1,1563.0,654.0
50,150,0.3,0,0,0.15,1526.0,188.0
50,150,0.3,0,0,0.2,1558.0,981.0
50,150,0.3,0,0,0.25,1808.0,754.0
50,150,0.3,0,0.1,0.0,1909.0,934.0
50,150,0.3,0,0.1,0.05,2569.0,970.0
50,150,0.3,0,0.1,0.1,1659.0,420.0
50,150,0.3,0,0.1,0.15,1268.0,603.0
50,150,0.3,0,0.1,0.2,2266.0,959.0
50,150,0.3,0,0.1,0.25,1718.0,645.0
50,150,0.3,0,0.4,0.0,1555.0,496.0
50,150,0.3,0,0.4,0.05,4623.0,976.0
50,150,0.3,0,0.4,0.1,1667.0,924.0
50,150,0.3,0,0.4,0.15,1631.0,142.0
50,150,0.3,0,0.4,0.2,1731.0,160.0
50,150,0.3,0,0.4,0.25,2431.0,830.0
