population size,number iterations,elitism fraction,crossover probability,mutation probability,inner mutation probability,score,weight
10,50,0.15,0.4,1,0.1,212.0,246.0
10,50,0.15,0.7,0,0.1,116.0,157.0
10,50,0.15,0.7,0.1,0.1,206.0,254.0
10,50,0.15,0.7,0.4,0.1,293.0,257.0
10,50,0.15,0.7,0.7,0.1,284.0,256.0
10,50,0.15,0.7,1,0.1,295.0,269.0
10,50,0.15,1,0,0.1,187.0,220.0
10,50,0.15,1,0.1,0.1,260.0,267.0
10,50,0.15,1,0.4,0.1,285.0,265.0
10,50,0.15,1,0.7,0.1,287.0,268.0
10,50,0.15,1,1,0.1,250.0,263.0
10,50,0.2,0,0,0.1,137.0,157.0
10,50,0.2,0,0.1,0.1,290.0,237.0
10,50,0.2,0,0.4,0.1,295.0,269.0
10,50,0.2,0,0.7,0.1,295.0,269.0
10,50,0.2,0,1,0.1,295.0,269.0
10,50,0.2,0.1,0,0.1,187.0,94.0
10,50,0.2,0.1,0.1,0.1,295.0,269.0
10,50,0.2,0.1,0.4,0.1,295.0,269.0
10,50,0.2,0.1,0.7,0.1,294.0,260.0
10,50,0.2,0.1,1,0.1,295.0,269.0
10,50,0.2,0.4,0,0.1,187.0,94.0
10,50,0.2,0.4,0.1,0.1,294.0,260.0
10,50,0.2,0.4,0.4,0.1,295.0,269.0
10,50,0.2,0.4,0.7,0.1,295.0,269.0
10,50,0.2,0.4,1,0.1,295.0,269.0
10,50,0.2,0.7,0,0.1,187.0,220.0
10,50,0.2,0.7,0.1,0.1,295.0,256.0
10,50,0.2,0.7,0.4,0.1,293.0,249.0
10,50,0.2,0.7,0.7,0.1,295.0,269.0
10,50,0.2,0.7,1,0.1,295.0,269.0
10,50,0.2,1,0,0.1,187.0,220.0
10,50,0.2,1,0.1,0.1,251.0,257.0
10,50,0.2,1,0.4,0.1,294.0,260.0
10,50,0.2,1,0.7,0.1,295.0,210.0
10,50,0.2,1,1,0.1,295.0,269.0
10,50,0.25,0,0,0.1,137.0,157.0
10,50,0.25,0,0.1,0.1,290.0,237.0
10,50,0.25,0,0.4,0.1,295.0,269.0
10,50,0.25,0,0.7,0.1,295.0,269.0
10,50,0.25,0,1,0.1,295.0,269.0
10,50,0.25,0.1,0,0.1,187.0,94.0
10,50,0.25,0.1,0.1,0.1,295.0,269.0
10,50,0.25,0.1,0.4,0.1,295.0,269.0
10,50,0.25,0.1,0.7,0.1,294.0,260.0
10,50,0.25,0.1,1,0.1,295.0,269.0
10,50,0.25,0.4,0,0.1,187.0,94.0
10,50,0.25,0.4,0.1,0.1,294.0,260.0
10,50,0.25,0.4,0.4,0.1,295.0,269.0
10,50,0.25,0.4,0.7,0.1,295.0,269.0
10,50,0.25,0.4,1,0.1,295.0,269.0
10,50,0.25,0.7,0,0.1,187.0,220.0
10,50,0.25,0.7,0.1,0.1,295.0,256.0
10,50,0.25,0.7,0.4,0.1,293.0,249.0
10,50,0.25,0.7,0.7,0.1,295.0,269.0
10,50,0.25,0.7,1,0.1,295.0,269.0
10,50,0.25,1,0,0.1,187.0,220.0
10,50,0.25,1,0.1,0.1,251.0,257.0
10,50,0.25,1,0.4,0.1,294.0,260.0
10,50,0.25,1,0.7,0.1,295.0,210.0
10,50,0.25,1,1,0.1,295.0,269.0
10,50,0.3,0,0,0.1,137.0,157.0
